Name,Type,X,Y,Layer,Properties
"Entrance (Blue)","Core Interactives",477,9,"Objects","{}"
"Entrance (Blue)","Core Interactives",478,10,"Objects","{}"
"Entrance (Blue)","Core Interactives",489,10,"Objects","{}"
"Entrance (Blue)","Core Interactives",224,11,"Objects","{}"
"Entrance (Blue)","Core Interactives",455,11,"Objects","{}"
"Entrance (Blue)","Core Interactives",282,12,"Objects","{}"
"Entrance (Blue)","Core Interactives",28,13,"Objects","{}"
"Entrance (Blue)","Core Interactives",33,14,"Objects","{}"
"Entrance (Blue)","Core Interactives",28,16,"Objects","{}"
"Entrance (Blue)","Core Interactives",423,16,"Objects","{}"
"Entrance (Blue)","Core Interactives",425,18,"Objects","{}"
"Entrance (Blue)","Core Interactives",435,18,"Objects","{}"
"Entrance (Blue)","Core Interactives",4,22,"Objects","{}"
"Entrance (Blue)","Core Interactives",86,22,"Objects","{}"
"Entrance (Blue)","Core Interactives",432,24,"Objects","{}"
"Entrance (Blue)","Core Interactives",483,24,"Objects","{}"
"Entrance (Blue)","Core Interactives",481,25,"Objects","{}"
"Entrance (Blue)","Core Interactives",416,31,"Objects","{}"
"Entrance (Blue)","Core Interactives",466,32,"Objects","{}"
"Entrance (Blue)","Core Interactives",239,33,"Objects","{}"
"Entrance (Blue)","Core Interactives",379,33,"Objects","{}"
"Entrance (Blue)","Core Interactives",413,34,"Objects","{}"
"Entrance (Blue)","Core Interactives",362,35,"Objects","{}"
"Entrance (Blue)","Core Interactives",377,36,"Objects","{}"
"Entrance (Blue)","Core Interactives",297,39,"Objects","{}"
"Entrance (Blue)","Core Interactives",319,41,"Objects","{}"
"Entrance (Blue)","Core Interactives",13,42,"Objects","{}"
"Entrance (Blue)","Core Interactives",438,49,"Objects","{}"
"Entrance (Blue)","Core Interactives",307,52,"Objects","{}"
"Entrance (Blue)","Core Interactives",334,54,"Objects","{}"
"Entrance (Blue)","Core Interactives",254,56,"Objects","{}"
"Entrance (Blue)","Core Interactives",335,56,"Objects","{}"
"Entrance (Blue)","Core Interactives",160,60,"Objects","{}"
"Entrance (Blue)","Core Interactives",208,62,"Objects","{}"
"Entrance (Blue)","Core Interactives",303,63,"Objects","{}"
"Entrance (Blue)","Core Interactives",367,63,"Objects","{}"
"Entrance (Blue)","Core Interactives",482,63,"Objects","{}"
"Entrance (Blue)","Core Interactives",277,64,"Objects","{}"
"Entrance (Blue)","Core Interactives",136,65,"Objects","{}"
"Entrance (Blue)","Core Interactives",182,70,"Objects","{}"
"Entrance (Blue)","Core Interactives",198,70,"Objects","{}"
"Entrance (Blue)","Core Interactives",183,71,"Objects","{}"
"Entrance (Blue)","Core Interactives",139,73,"Objects","{}"
"Entrance (Blue)","Core Interactives",112,78,"Objects","{}"
"Entrance (Blue)","Core Interactives",64,81,"Objects","{}"
"Entrance (Blue)","Core Interactives",62,84,"Objects","{}"
